x_over_L,u_mean_over_Ulid,u_CI95_halfwidth_over_Ulid,slip_mean_over_Ulid,slip_CI95_halfwidth,temperature_mean_K,temperature_CI95_halfwidth_K,u_mean_11cell_over_Ulid,slip_mean_11cell_over_Ulid,temperature_mean_11cell_K
4.724999999999999756e-01,6.606383333333333274e-01,2.293360137601751017e-02,3.393616666666666171e-01,2.293360137601752058e-02,3.124786666666666974e+02,3.435703753119907500e+00,6.603077575757575479e-01,3.396922424242425076e-01,3.116213636363636397e+02
4.774999999999999800e-01,6.642619999999999081e-01,1.701716579091711729e-02,3.357380000000000364e-01,1.701716579091709300e-02,3.121586666666666474e+02,3.851434485414665154e+00,6.617276363636364067e-01,3.382723636363637043e-01,3.117818181818182097e+02
4.825000000000000400e-01,6.597593333333334753e-01,1.490470047599772724e-02,3.402406666666666357e-01,1.490470047599778275e-02,3.122760000000000105e+02,2.692107384734182318e+00,6.626600606060606413e-01,3.373399393939394697e-01,3.119927575757575937e+02
4.874999999999999889e-01,6.595133333333332848e-01,3.206751678235923025e-02,3.404866666666666597e-01,3.206751678235919556e-02,3.124499999999999886e+02,2.089257288390798273e+00,6.628584848484848635e-01,3.371415151515151920e-01,3.120764848484848812e+02
4.925000000000000488e-01,6.613996666666666080e-01,2.302732232461256190e-02,3.386003333333333920e-01,2.302732232461256884e-02,3.118990000000000578e+02,4.776685484959408257e+00,6.636783939393938736e-01,3.363216060606060709e-01,3.120213939393939881e+02
4.974999999999999978e-01,6.626436666666666309e-01,3.338349686515583448e-02,3.373563333333333691e-01,3.338349686515579978e-02,3.115196666666666374e+02,2.159539272378721453e+00,6.641852424242423725e-01,3.358147575757575720e-01,3.120249696969697197e+02
5.024999999999999467e-01,6.699610000000000287e-01,1.434292648737430127e-02,3.300390000000000268e-01,1.434292648737430301e-02,3.122329999999999472e+02,1.178348308032335368e+00,6.645176363636363659e-01,3.354823636363636341e-01,3.119639393939394836e+02
5.075000000000000622e-01,6.733416666666666162e-01,1.716666009326909062e-02,3.266583333333333283e-01,1.716666009326908021e-02,3.133056666666666388e+02,3.595495934394204784e+00,6.641539393939394076e-01,3.358460606060605924e-01,3.119456363636363676e+02
5.124999999999999556e-01,6.638619999999998411e-01,3.368638856999794234e-02,3.361380000000000479e-01,3.368638856999789377e-02,3.119499999999999886e+02,3.262798334920383958e+00,6.640875454545454026e-01,3.359124545454545419e-01,3.119247878787878676e+02
5.175000000000000711e-01,6.683523333333333261e-01,1.567280150169981720e-02,3.316476666666666739e-01,1.567280150169979985e-02,3.111286666666666747e+02,1.838265823124366261e+00,6.635817575757575471e-01,3.364182424242424529e-01,3.118402727272727475e+02
